Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Limite_Dinamico;Num_Criterios;Criterio_Principal;Score_Confianca
2024-09-20 12:30:00;2024-Q3;262.61;262.61;261.7;261.7;53;-0.35;-2.54;2.63;7.9;Neutro;0.49;2;Volume Alto;87
2024-06-12 12:55:00;2024-Q2;229.76;232.87;229.76;231.89;33;0.93;3.13;6.19;2.6;Alta;0.4;2;Amplitude Alta;87
2022-01-25 11:35:00;2022-Q1;227.75;227.75;226.86;226.93;32;-0.36;-2.56;3.44;6.8;Neutro;0.49;2;Volume Alto;87
2023-01-18 12:35:00;2023-Q1;152.2;153.02;152.2;152.72;15;0.34;2.78;6.06;3.2;Neutro;0.44;2;Amplitude Alta;87
2025-01-08 14:05:00;2025-Q1;346.78;348.53;346.73;348.53;8;0.5;3.87;6.2;1.5;Alta;0.4;2;Amplitude Alta;86
2023-08-31 10:15:00;2023-Q3;151.07;151.07;150.1;150.1;13;-0.64;-3.65;6.01;2.0;Baixa;0.4;2;Amplitude Alta;86
2024-07-26 10:45:00;2024-Q3;245.59;245.59;244.65;244.65;22;-0.38;-2.92;3.82;5.6;Neutro;0.42;2;Volume Alto;86
2024-01-11 12:15:00;2024-Q1;185.38;185.62;184.41;184.41;44;-0.52;-2.51;4.65;5.1;Baixa;0.5;2;Volume Alto;86
2025-06-16 09:50:00;2025-Q2;386.11;386.79;384.55;384.55;4;-0.4;-3.15;7.23;1.1;Baixa;0.4;2;Amplitude Alta;86
2022-08-17 09:35:00;2022-Q3;197.68;198.68;197.68;198.68;7;0.51;3.52;6.31;1.7;Alta;0.4;2;Amplitude Alta;86
2025-06-23 11:20:00;2025-Q2;361.29;363.81;361.29;363.81;32;0.7;2.96;3.79;5.6;Alta;0.41;2;Volume Alto;85
2022-08-26 10:45:00;2022-Q3;217.66;218.85;217.66;218.54;42;0.4;2.68;4.25;5.3;Neutro;0.46;2;Volume Alto;85
2024-04-12 13:15:00;2024-Q2;231.55;231.55;229.68;229.98;65;-0.68;-3.28;3.66;5.1;Baixa;0.4;2;Volume Alto;84
2023-11-06 13:35:00;2023-Q4;165.16;166.29;165.16;166.29;9;0.68;3.44;6.25;1.6;Alta;0.4;2;Amplitude Alta;84
2024-09-12 11:30:00;2024-Q3;259.62;259.62;258.45;258.45;30;-0.45;-3.42;3.52;5.0;Baixa;0.4;2;Volume Alto;84
