Time	Open	High	Low	Close	Volume
2026.01.02 15:00:00	429.0	429.0	426.15	426.4	16
2026.01.02 14:00:00	428.5	431.0	427.75	427.75	19
2026.01.02 13:00:00	429.0	430.0	427.0	427.0	13
2026.01.02 12:00:00	424.3	429.5	423.5	428.7	37
2026.01.02 11:00:00	422.5	426.0	422.1	425.0	24
2026.01.02 10:00:00	422.0	424.65	422.0	423.5	53
2026.01.02 09:00:00	423.0	424.6	420.95	422.15	36
2025.12.30 15:00:00	426.2	428.5	426.2	428.0	10
2025.12.30 14:00:00	425.45	425.5	424.25	425.2	16
2025.12.30 13:00:00	427.45	428.85	425.25	426.2	27
2025.12.30 12:00:00	426.35	427.9	426.2	427.3	31
2025.12.30 11:00:00	431.0	431.05	425.9	425.9	46
2025.12.30 10:00:00	435.85	436.0	431.45	431.45	37
2025.12.30 09:00:00	428.95	439.0	428.95	436.05	120
2025.12.29 15:00:00	426.5	426.5	425.1	425.1	10
2025.12.29 14:00:00	427.05	427.05	426.6	426.6	2
2025.12.29 13:00:00	427.0	427.5	426.95	427.5	4
2025.12.29 12:00:00	428.4	429.5	427.2	427.2	25
2025.12.29 11:00:00	427.25	428.45	425.8	428.0	42
2025.12.29 10:00:00	425.95	427.5	425.0	426.95	28
2025.12.29 09:00:00	424.8	426.4	423.2	425.75	25
2025.12.26 15:00:00	423.5	425.0	423.05	425.0	4
2025.12.26 14:00:00	424.7	424.75	424.15	424.75	9
2025.12.26 13:00:00	423.4	425.0	422.75	425.0	10
2025.12.26 12:00:00	425.0	425.5	423.5	423.5	10
2025.12.26 11:00:00	423.8	425.0	422.7	424.6	21
2025.12.26 10:00:00	418.55	425.0	418.55	424.15	32
2025.12.26 09:00:00	420.1	420.55	412.3	420.5	32
2025.12.23 15:00:00	422.0	422.05	421.5	421.65	7
2025.12.23 14:00:00	421.5	423.0	421.5	422.6	16
2025.12.23 13:00:00	425.0	425.1	421.1	421.3	42
2025.12.23 12:00:00	428.5	428.5	425.25	427.2	25
2025.12.23 11:00:00	426.1	429.05	425.0	429.0	37
2025.12.23 10:00:00	426.05	427.7	426.05	426.4	13
2025.12.23 09:00:00	427.5	430.0	426.1	426.1	32
2025.12.22 15:00:00	422.25	424.0	422.0	424.0	34
