Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2022-10-10 10:05:00;2022-Q4;196.34;197.03;195.31;195.31;29;-0.52;-3.46;7.63;5.5;Neutro;100
2025-02-14 14:55:00;2025-Q1;432.75;437.44;432.75;437.22;19;1.03;5.12;8.04;4.8;Alta;100
2025-02-19 14:15:00;2025-Q1;448.87;453.39;446.94;446.94;13;-0.43;-2.22;9.6;2.5;Neutro;100
2025-02-20 12:15:00;2025-Q1;435.29;435.29;432.49;432.49;52;-0.64;-3.91;5.85;5.2;Neutro;100
2022-03-24 11:05:00;2022-Q1;211.03;211.03;209.8;210.19;16;-0.4;-2.99;7.09;4.1;Neutro;100
2025-02-20 14:25:00;2025-Q1;427.67;427.84;422.93;425.04;15;-0.61;-4.15;12.52;5.0;Neutro;100
2021-03-01 14:45:00;2021-Q1;131.75;131.75;131.26;131.26;16;-0.37;-3.68;7.38;2.8;Neutro;100
2021-03-02 10:05:00;2021-Q1;130.72;130.72;129.86;130.11;21;-0.47;-4.34;11.49;3.7;Neutro;100
2023-12-01 11:30:00;2023-Q4;175.13;177.19;174.73;176.66;39;0.87;3.65;7.82;3.9;Alta;100
2023-07-20 10:00:00;2023-Q3;144.52;145.87;144.52;145.87;42;0.93;4.81;6.47;5.0;Alta;100
2022-10-18 09:40:00;2022-Q4;178.36;181.11;178.36;179.85;22;0.84;4.57;10.33;3.4;Alta;100
2024-09-24 10:30:00;2024-Q3;277.35;277.39;275.27;275.27;24;-0.75;-4.89;6.03;2.9;Neutro;100
2021-08-06 10:30:00;2021-Q3;172.32;173.52;171.52;173.52;17;0.7;3.69;9.37;6.4;Neutro;100
2024-09-24 13:30:00;2024-Q3;274.66;274.75;273.01;273.45;42;-0.44;-2.99;4.8;6.8;Neutro;100
2021-08-03 09:55:00;2021-Q3;173.71;173.71;171.91;171.91;10;-1.04;-4.83;8.05;3.4;Baixa;100
2024-09-16 13:20:00;2024-Q3;265.99;265.99;264.35;264.69;28;-0.49;-3.15;4.29;7.4;Neutro;100
2022-02-07 10:35:00;2022-Q1;227.83;229.23;227.83;229.15;62;0.58;5.29;7.1;7.9;Neutro;100
2025-02-21 11:30:00;2025-Q1;429.42;429.42;426.79;426.79;35;-0.61;-4.85;9.81;10.1;Neutro;100
2025-01-14 11:50:00;2025-Q1;357.12;359.0;357.12;358.56;17;0.4;4.25;7.49;2.4;Neutro;100
2022-03-28 10:05:00;2022-Q1;206.77;206.77;205.7;205.7;15;-0.52;-4.32;6.09;3.7;Neutro;100
2022-03-29 10:50:00;2022-Q1;205.85;205.85;204.55;205.09;5;-0.37;-3.66;8.13;1.9;Neutro;100
2025-02-21 11:40:00;2025-Q1;423.77;424.16;420.65;422.28;6;-0.35;-3.06;13.75;3.4;Neutro;100
2025-02-21 12:00:00;2025-Q1;420.13;422.14;419.34;422.14;3;0.48;4.45;12.18;1.7;Neutro;100
2023-07-28 10:00:00;2023-Q3;148.98;149.17;147.85;147.85;25;-0.76;-4.34;6.35;5.2;Neutro;100
2022-12-16 14:10:00;2022-Q4;158.85;159.97;158.66;158.66;19;-0.12;-1.11;11.06;3.9;Neutro;100
2021-08-02 12:55:00;2021-Q3;171.91;171.91;169.49;169.49;68;-1.41;-4.71;8.33;9.8;Baixa;100
2022-12-16 12:40:00;2022-Q4;159.14;160.38;158.99;160.23;24;0.68;5.22;8.93;3.0;Neutro;100
2022-10-10 10:00:00;2022-Q4;195.96;196.04;193.28;196.04;38;0.04;0.37;10.87;5.4;Neutro;100
2022-07-22 09:40:00;2022-Q3;198.53;198.68;196.53;196.53;37;-1.01;-5.1;6.32;3.3;Baixa;100
2024-06-10 10:00:00;2024-Q2;234.02;234.02;231.93;232.02;29;-0.85;-4.51;5.59;5.7;Baixa;100
